QTD;ID_PLANO_CONTA;PLANO_CONTA;TOTAL_MES;ANO;MES;CODIGOSELO;IDCARTORIO;COMARCA
1;6;Assessoria Contábil;2200;2024;09;G8;110;19
1;6;Assessoria Contábil;2200;2024;07;G8;110;19
1;6;Assessoria Contábil;2200;2024;10;G8;110;19
1;6;Assessoria Contábil;2200;2024;05;G8;110;19
1;6;Assessoria Contábil;2200;2024;06;G8;110;19
1;6;Assessoria Contábil;2200;2024;12;G8;110;19
1;6;Assessoria Contábil;2200;2024;02;G8;110;19
2;6;Assessoria Contábil;2200;2024;11;H0;5;2
1;6;Assessoria Contábil;2200;2024;07;H6;45;6
1;6;Assessoria Contábil;2200;2025;12;E7;74;12
1;6;Assessoria Contábil;2200;2025;10;F0;91;14
1;6;Assessoria Contábil;2200;2025;01;G8;110;19
1;6;Assessoria Contábil;2200;2025;08;G8;110;19
1;6;Assessoria Contábil;2200;2025;09;G8;110;19
1;6;Assessoria Contábil;2200;2025;04;G8;110;19
1;6;Assessoria Contábil;2200;2025;05;G8;110;19
1;6;Assessoria Contábil;2200;2025;03;G8;110;19
1;6;Assessoria Contábil;2200;2025;07;G8;110;19
1;6;Assessoria Contábil;2200;2025;06;G8;110;19
1;6;Assessoria Contábil;2200;2025;02;G8;110;19
1;6;Assessoria Contábil;2200;2025;10;G8;110;19
2;6;Assessoria Contábil;2200;2025;01;H0;5;2
2;6;Assessoria Contábil;2196.72;2024;04;L4;158;13
2;6;Assessoria Contábil;2177.5;2024;07;C5;34;5
1;6;Assessoria Contábil;2175;2025;10;C5;34;5
2;6;Assessoria Contábil;2143.8;2024;01;L4;158;13
1;6;Assessoria Contábil;2138;2024;08;K4;150;4
1;6;Assessoria Contábil;2125;2025;10;J9;144;12
1;6;Assessoria Contábil;2125;2025;11;J9;144;12
1;6;Assessoria Contábil;2125;2025;04;J9;144;12
1;6;Assessoria Contábil;2125;2025;06;J9;144;12
1;6;Assessoria Contábil;2125;2025;02;J9;144;12
1;6;Assessoria Contábil;2125;2025;09;J9;144;12
1;6;Assessoria Contábil;2125;2025;08;J9;144;12
1;6;Assessoria Contábil;2125;2025;01;J9;144;12
1;6;Assessoria Contábil;2125;2025;12;J9;144;12
1;6;Assessoria Contábil;2125;2025;03;J9;144;12
1;6;Assessoria Contábil;2125;2025;05;J9;144;12
1;6;Assessoria Contábil;2125;2025;07;J9;144;12
2;6;Assessoria Contábil;2124;2025;12;H8;71;9
1;6;Assessoria Contábil;2118;2024;06;A0;1;1
1;6;Assessoria Contábil;2118;2024;10;A0;1;1
1;6;Assessoria Contábil;2118;2024;11;A0;1;1
1;6;Assessoria Contábil;2118;2024;02;D9;82;11
1;6;Assessoria Contábil;2118;2024;04;D9;82;11
1;6;Assessoria Contábil;2118;2024;06;D9;82;11
1;6;Assessoria Contábil;2118;2024;10;D9;82;11
